observation record,transect,X,Y,elevation change,fall line exposure,max aphids,aphids,max mealybugs,mealybugs,max ants / mealybug,ants,max moths,moths,bats,Management,ev2,ev3
1,8a,-5,8,,,5,2.26369021,0,0,5,0,3,0.3164394644,0.3164394644,HF,0,0
2,8a,-4,8,,,6,5.506577005,1,0.3936711308,5,0.04929671923,3,1.603216295,1.603216295,BF,0,0
3,8a,-3,8,,,7,0.7382284797,2,1.540287296,5,5.543122123,3,2.484625538,4.969251076,NM,0,0
4,8a,-2,8,,,8,3.332340969,2,0.6782234431,5,0.6942855088,3,2.086641534,4.173283068,HF,0,0
5,8a,-1,8,,,9,2.703560189,2,1.753170334,5,7.729439412,3,1.624269274,1.624269274,SF,0,0
6,8a,1,8,,,20,5.423921341,2,1.879013274,5,5.374223339,3,1.102446627,2.204893255,NM,0,0
7,8a,2,8,,,25,13.97525039,2,1.798142836,3,3.342092052,5,0.717186371,0.717186371,NM,0,0
8,8a,3,8,,,30,21.38080605,15,1.369047632,3,2.340725611,5,1.550975093,1.550975093,SF,0,0
9,8a,4,8,,,35,8.593548386,15,14.53550146,3,1.812282624,5,1.23476697,2.469533939,HF,0,0
10,8a,5,8,,,40,23.13632622,15,8.937758344,3,23.42367136,5,0.3117865233,0.3117865233,BF,0,0
11,8a,6,8,,,60,4.795005298,15,0.4894760992,3,0.5153799115,5,1.291846863,1.291846863,HF,0,0
12,8a,7,8,,,70,61.41751121,15,0.1964917786,2,0.3812958063,5,0.58192047,0.58192047,HF,0,0
13,8a,8,8,,,80,34.84348863,15,0.9336528202,2,1.5757617,5,1.66908186,1.66908186,BF,0,0
14,8a,9,8,,,90,59.81042201,25,6.228994973,2,4.066098163,5,2.212347313,4.424694625,SF,0,0
15,8a,10,8,,,90,63.38163648,25,2.995474646,2,5.516862798,5,1.963925215,3.92785043,BF,0,0
16,8a,11,8,,,90,4.28653898,25,11.73290571,2,19.35592612,5,0.1283910967,0.2567821934,SF,0,0
17,8a,12,8,,,90,74.87474389,25,6.925218173,2,1.774727585,5,1.617616014,3.235232028,HF,0,0
18,8a,13,8,,,90,84.98845756,25,22.49908038,2,28.35645265,5,2.45408923,4.908178461,NM,0,0
19,8a,14,8,,,80,8.63771861,25,9.564105632,2,9.000930293,5,2.896637234,2.896637234,BF,0,0
20,8a,15,8,,,80,30.19246183,25,17.66424161,2,32.73478103,5,0.8383823883,1.676764777,SF,0,0
21,8a,16,8,,,80,56.98162791,25,5.074451969,2,6.499705967,5,2.081910778,2.081910778,BF,0,0
22,8a,17,8,,,80,62.05932574,25,3.734544168,2,5.050575781,5,0.7027101201,1.40542024,SF,0,0
23,8a,18,8,,,70,65.48163456,25,1.997208415,2,0.5842115119,5,2.137547487,4.275094974,HF,0,0
24,8a,19,8,,,70,67.50997346,15,0.1411908581,2,0.1845135574,5,0.6950142146,1.390028429,NM,0,0
25,8a,20,8,,,70,31.4975766,15,11.17909106,2,8.718024365,5,1.993279178,1.993279178,HF,0,0
26,8a,21,8,,,70,30.97016086,15,1.776408248,2,0.5808392168,5,2.544334343,2.544334343,SF,0,0
27,8a,22,8,,,60,21.35489331,15,9.395710211,2,10.80853882,5,2.280750075,2.280750075,NM,0,0
28,8a,23,8,,,60,42.9702488,15,1.997719997,2,2.276689413,5,2.763108329,5.526216658,NM,0,0
29,8a,24,8,,,60,47.81955964,15,14.036908,2,13.99584148,5,2.913652836,2.913652836,BF,0,0
30,8a,25,8,,,50,3.990574166,15,4.076841584,2,5.733272142,5,0.240970401,0.240970401,SF,0,0
