observation record,transect,X,Y,elevation change,fall line exposure,max aphids,aphids,max mealybugs,mealybugs,max ants / mealybug,ants,max moths,moths,bats,Management,ev2,ev3
1,2a,-5,5,,,5,0.762363749,0,0,5,0,3,1.441922015,2.88384403,HF,0,0
2,2a,-4,5,,,6,3.816598901,1,0.9314592901,5,0.5027171315,3,0.3400805369,0.6801610738,BF,0,0
3,2a,-3,5,,,7,6.160446902,2,1.42983251,5,3.444109749,3,2.100847727,4.201695453,NM,0,0
4,2a,-2,5,,,8,1.262019463,2,1.646676986,5,6.477542659,3,2.436847855,2.436847855,HF,0,0
5,2a,-1,5,,,9,2.732723519,2,1.357755316,5,6.688526851,3,0.2903943179,0.2903943179,SF,0,0
6,2a,1,5,,,20,12.59575612,2,1.002778657,5,0.1506312184,3,1.094142083,1.094142083,NM,0,0
7,2a,2,5,,,25,9.276079661,2,0.02243669673,3,0.0231578541,5,2.731638283,2.731638283,NM,0,0
8,2a,3,5,,,30,16.74704176,15,11.6882737,3,25.85634309,5,0.36970822,0.36970822,SF,0,0
9,2a,4,5,,,35,6.811854833,15,7.153342422,3,6.447898279,5,2.649871215,5.299742429,HF,0,0
10,2a,5,5,,,40,15.72849028,15,13.46199941,3,23.8846902,5,0.1605634039,0.1605634039,BF,0,0
11,2a,6,5,,,60,0.1166644881,15,8.066813252,3,10.6861868,5,1.528153582,1.528153582,HF,0,0
12,2a,7,5,,,70,9.44545987,15,7.768606975,2,0.6425510473,5,1.771757185,1.771757185,HF,0,0
13,2a,8,5,,,80,50.42906407,15,13.59972907,2,19.44988131,5,2.470735221,2.470735221,BF,0,0
14,2a,9,5,,,90,75.22131541,25,24.9582381,2,3.07769773,5,0.04743635456,0.09487270911,SF,0,0
15,2a,10,5,,,90,36.04794342,25,12.46043992,2,8.880680626,5,2.621013735,5.24202747,BF,0,0
16,2a,11,5,,,90,3.241352838,25,19.54461313,2,18.76859187,5,2.037694171,4.075388343,SF,0,0
17,2a,12,5,,,90,76.37717972,25,18.49937417,2,7.882983208,5,0.2222562389,0.4445124779,HF,0,0
18,2a,13,5,,,90,30.9935044,25,3.796236344,2,0.9412791506,5,2.865114873,5.730229746,NM,0,0
19,2a,14,5,,,80,24.26336818,25,10.53262947,2,2.095805462,5,2.896616841,5.793233682,BF,0,0
20,2a,15,5,,,80,12.10968132,25,19.36777874,2,18.68794535,5,0.4891014214,0.4891014214,SF,0,0
21,2a,16,5,,,80,34.17269709,25,0.2148029462,2,0.04910847013,5,1.549034853,3.098069706,BF,0,0
22,2a,17,5,,,80,66.6995294,25,15.50020739,2,3.288951832,5,2.444008013,4.888016026,SF,0,0
23,2a,18,5,,,70,27.12843936,25,11.12157956,2,17.77642214,5,2.97740396,2.97740396,HF,0,0
24,2a,19,5,,,70,28.65729813,15,0.6320591157,2,0.6473133732,5,1.348773816,2.697547633,NM,0,0
25,2a,20,5,,,70,22.59652613,15,2.697614314,2,0.5495993944,5,1.788957665,1.788957665,HF,0,0
26,2a,21,5,,,70,66.90460424,15,0.6649547638,2,0.06694634207,5,0.05118901125,0.05118901125,SF,0,0
27,2a,22,5,,,60,47.70478975,15,5.720851278,2,6.896297201,5,1.585120854,1.585120854,NM,0,0
28,2a,23,5,,,60,52.6335035,15,5.056688695,2,5.014041581,5,0.6790993002,0.6790993002,NM,0,0
29,2a,24,5,,,60,17.6827837,15,11.41166689,2,14.8512272,5,2.583131739,2.583131739,BF,0,0
30,2a,25,5,,,50,17.64725359,15,8.31320573,2,3.365558185,5,1.623788909,3.247577818,SF,0,0
