transect,observation record,distance from border (m),elevation change,fall line exposure,max aphids,aphids,max mealybugs,mealybugs,max ants / mealybug,ants,max moths,moths,environ var 1,environ var 2,environ var 3
1a,1,-5,,,5,1.427066123,0,0,5,0,3,1.673401206,,,
1a,2,-4,,,6,4.136285906,1,0.359526175,5,0.05206420987,3,0.3980604422,,,
1a,3,-3,,,7,6.27914814,2,0.920116044,5,4.134687424,3,2.615739661,,,
1a,4,-2,,,8,6.50271775,2,0.2092440146,5,0.9005881622,3,2.507158488,,,
1a,5,-1,,,9,0.4733212795,2,1.262757141,5,3.297495755,3,1.425383259,,,
1a,6,1,,,20,19.40996197,2,1.640075345,5,2.750784158,3,1.579641725,,,
1a,7,2,,,25,23.94174837,2,0.1284425116,3,0.1324758874,5,1.686862517,,,
1a,8,3,,,30,20.76745652,15,11.05643872,3,24.41440293,5,2.428346083,,,
1a,9,4,,,35,26.74848582,15,2.116456623,3,0.1495290464,5,1.811056918,,,
1a,10,5,,,40,16.74288433,15,4.671619177,3,0.7087757339,5,1.639621291,,,
1a,11,6,,,60,54.65830262,15,1.690803868,3,5.010256864,5,2.287105785,,,
1a,12,7,,,70,65.68857939,15,11.50076356,2,1.153052776,5,2.112792228,,,
1a,13,8,,,80,53.57419164,15,12.60329121,2,22.50194684,5,2.059024846,,,
1a,14,9,,,90,15.81552066,25,11.92039215,2,21.77761318,5,1.597081866,,,
1a,15,10,,,90,40.86109091,25,7.407440459,2,11.46155336,5,1.045490002,,,
1a,16,11,,,90,40.53824118,25,16.60103623,2,32.1719888,5,1.924532845,,,
1a,17,12,,,90,13.97385034,25,11.5452596,2,14.5322125,5,0.9003766628,,,
1a,18,13,,,90,67.68010574,25,2.649128713,2,2.361615371,5,1.514289351,,,
